country,latitude,longitude,continent_name,country_code
Aland Islands,60.11666700000001,19.9,Europe,ALA
Albania,41.31666667,19.816667000000002,Europe,ALB
Andorra,42.5,1.516667,Europe,AND
Armenia,40.16666667,44.5,Europe,ARM
Austria,48.2,16.366667,Europe,AUT
Azerbaijan,40.38333333,49.866667,Europe,AZE
Belarus,53.9,27.566667,Europe,BLR
Belgium,50.83333333,4.3333330000000005,Europe,BEL
Bosnia and Herzegovina,43.86666667,18.416667,Europe,BIH
Bulgaria,42.68333333,23.316667000000002,Europe,BGR
Croatia,45.8,16.0,Europe,HRV
Cyprus,35.16666667,33.366667,Europe,CYP
Czech Republic,50.08333333,14.466667000000001,Europe,CZE
Denmark,55.66666667,12.583333,Europe,DNK
Estonia,59.43333333,24.716667,Europe,EST
Faroe Islands,62.0,-6.766667,Europe,FRO
Finland,60.16666667,24.933332999999998,Europe,FIN
France,48.86666667,2.333333,Europe,FRA
Georgia,41.68333333,44.833333,Europe,GEO
Germany,52.51666667,13.4,Europe,DEU
Gibraltar,36.13333333,-5.35,Europe,GIB
Greece,37.98333333,23.733333,Europe,GRC
Guernsey,49.45,-2.5333330000000003,Europe,GGY
Vatican City,41.9,12.45,Europe,VAT
Hungary,47.5,19.083333,Europe,HUN
Iceland,64.15,-21.95,Europe,ISL
Ireland,53.31666667,-6.233333,Europe,IRL
Isle of Man,54.15,-4.483333,Europe,IMN
Italy,41.9,12.483333,Europe,ITA
Jersey,49.18333333,-2.1,Europe,JEY
Latvia,56.95,24.1,Europe,LVA
Liechtenstein,47.13333333,9.516667,Europe,LIE
Lithuania,54.68333333,25.316667000000002,Europe,LTU
Luxembourg,49.6,6.116667,Europe,LUX
Macedonia,42.0,21.433332999999998,Europe,MKD
Malta,35.88333333,14.5,Europe,MLT
Moldova,47.0,28.85,Europe,MDA
Monaco,43.73333333,7.4166669999999995,Europe,MCO
Montenegro,42.43333333,19.266667,Europe,MNE
Netherlands,52.35,4.9166669999999995,Europe,NLD
Norway,59.91666667,10.75,Europe,NOR
Poland,52.25,21.0,Europe,POL
Portugal,38.71666667,-9.133333,Europe,PRT
Romania,44.43333333,26.1,Europe,ROU
Russia,55.75,37.6,Europe,RUS
San Marino,43.93333333,12.416667,Europe,SMR
Serbia,44.83333333,20.5,Europe,SRB
Slovakia,48.15,17.116667,Europe,SVK
Slovenia,46.05,14.516667000000002,Europe,SVN
Spain,40.4,-3.683333,Europe,ESP
Svalbard,78.21666667,15.633332999999999,Europe,SJM
Sweden,59.33333333,18.05,Europe,SWE
Switzerland,46.91666667,7.466667,Europe,CHE
Turkey,39.93333333,32.866667,Europe,TUR
Ukraine,50.43333333,30.516666999999998,Europe,UKR
United Kingdom,51.5,-0.083333,Europe,GBR
